,Compound,Negative,Neutral,Positive,Time Stamp,Tweet,Tweet_Ago,User
249,0.0,0.0,1.0,0.0,09-15-2017 11:09:00,LIVE NOW: Latest updates on the London tube incident https://t.co/Zd1jLVXweD #ParsonsGreen https://t.co/QTVABqyM87,49,@CNN
250,0.0,0.0,1.0,0.0,09-15-2017 08:44:42,"Outside Parsons Green station, @NdosSantosCNN says she can see armed police arriving in response to London tube ""se… https://t.co/Uc6U2TaPFo",50,@CNN
251,-0.2263,0.119,0.881,0.0,09-15-2017 05:14:07,Conservative radio host Ben Shapiro spoke at UC Berkeley as protesters gathered outside https://t.co/QRukstY6gY https://t.co/iPNtD5g9x5,51,@CNN
252,0.1531,0.147,0.667,0.187,09-15-2017 00:40:20,Motel 6 says it will stop sharing guest lists with ICE https://t.co/zUFYJVRsTz https://t.co/jUiKufzGU9,52,@CNN
253,0.4215,0.0,0.811,0.189,09-14-2017 21:37:13,"""He likes us"": Hot mic catches Sen. Chuck Schumer talking Trump https://t.co/QfBKinbGCn https://t.co/jHOamARu3B",53,@CNN
254,0.0,0.0,1.0,0.0,09-14-2017 17:16:06,Russia is holding major military exercises in the western part of the country and Belarus https://t.co/GotCkNo1Z3 https://t.co/brh2wcXi3e,54,@CNN
255,-0.4404,0.139,0.861,0.0,09-14-2017 13:55:05,South Korean President rules out the need to deploy nuclear weapons in his country despite North Korea threat… https://t.co/gWVteFJHeD,55,@CNN
256,0.1027,0.0,0.928,0.072,09-14-2017 10:49:49,"US Treasury Secretary Steve Mnuchin asked to use a government jet for his honeymoon, but later withdrew the request… https://t.co/u2e9ioosGK",56,@CNN
257,-0.8555,0.457,0.543,0.0,09-14-2017 07:46:07,How a series of sexual abuse allegations doomed Seattle's Democratic mayor https://t.co/lRY68eMUq9 https://t.co/WtkicirGM8,57,@CNN
258,0.1027,0.119,0.743,0.139,09-14-2017 04:46:07,"Bill with provision that would make obtaining gun silencers easier advances, moving to the House floor… https://t.co/fGZ2LIG4Yy",58,@CNN
259,-0.0258,0.15,0.705,0.145,09-14-2017 01:56:48,"Anderson Cooper on Hillary Clinton's ""What Happened"": ""I was dreading reading this book ... I actually enjoyed it"" https://t.co/DPi0ZqpKqU",59,@CNN
260,-0.5594,0.204,0.796,0.0,09-14-2017 00:41:07,Hillary Clinton bluntly said she doesn't forgive those who now say they regret not voting in the 2016 election… https://t.co/kS7ir6yGco,60,@CNN
261,0.0,0.0,1.0,0.0,09-13-2017 22:49:15,"Martin Shkreli is headed to jail after he offered $5,000 to anyone who could grab a strand of Hillary Clinton's hai… https://t.co/hlFQjXGSMu",61,@CNN
262,0.0,0.0,1.0,0.0,09-13-2017 21:04:42,"Ted Cruz pitches tax reform: ""Let's simplify the tax code. Let's let everyone fill out their taxes on a postcard.""… https://t.co/4UxyAe00FL",62,@CNN
263,0.0,0.0,1.0,0.0,09-13-2017 19:06:12,Florida's airports won't be back to normal for several days https://t.co/LPWOIkbY1F https://t.co/BarvhhXNKz,63,@CNN
264,0.0,0.0,1.0,0.0,09-13-2017 15:04:28,Millions in Florida could be without electricity for weeks -- with temperatures in the 90s https://t.co/i0Jg9bKDkg https://t.co/cCGQCv2eHX,64,@CNN
265,0.0,0.0,1.0,0.0,09-13-2017 11:30:39,Samsung wants to release a folding smartphone in 2018 https://t.co/Ie5MricROx https://t.co/rGX1QDfXaz,65,@CNN
266,-0.0516,0.097,0.816,0.087,09-13-2017 09:15:08,"Aung San Suu Kyi, Myanmar's de facto leader, cancels trip to the UN amid growing Rohingya crisis… https://t.co/RpR7fGAMxY",66,@CNN
267,0.0,0.0,1.0,0.0,09-13-2017 05:22:06,"23andMe, the genetics testing startup, wants to develop drugs based on your DNA https://t.co/TPHnHxeHyJ https://t.co/1c2ZYHVJjW",67,@CNN
268,0.0,0.0,1.0,0.0,09-13-2017 03:01:04,"After Irma, it's time we moved our power grid underground, this @CNNOpinion contributor says https://t.co/mw8dtm84dz https://t.co/MzG5bukgjE",68,@CNN
269,0.0772,0.0,0.939,0.061,09-13-2017 00:27:37,RT @AC360: Widespread power outages are one of the biggest challenges as Florida communities are trying to recover and rebuild. https://t.c…,69,@CNN
270,0.5719,0.093,0.681,0.226,09-12-2017 21:54:12,"RT @cnnbrk: Pioneering activist Edith Windsor, who led the battle that won federal benefits for same-sex couples, dies at age 88 https://t.…",70,@CNN
271,0.0,0.0,1.0,0.0,09-12-2017 19:16:33,"Ten years after the launch of the first iPhone, Apple has revealed the iPhone X. The cost? $999… https://t.co/Smc6t29zpI",71,@CNN
272,-0.1027,0.069,0.931,0.0,09-12-2017 16:29:31,"Would you pay $1,000 for the next iPhone? @samuelcnn explores what upgrades and new features may be coming soon… https://t.co/vT5t7iCoKY",72,@CNN
273,-0.5859,0.202,0.798,0.0,09-12-2017 12:24:51,"Mexico will no longer send emergency aid offered to Texas after Harvey, in order to focus on its own disasters… https://t.co/UeirGXNVJL",73,@CNN
274,0.5423,0.0,0.8,0.2,09-12-2017 09:33:50,"UK Parliament votes in favor of key Brexit bill, an important milestone in legislative process for leaving the EU… https://t.co/cqhcg3kpC5",74,@CNN
275,-0.296,0.175,0.708,0.118,09-12-2017 06:27:03,"As #Irma is downgraded to a tropical depression, officials urge patience for evacuees eager to return home https://t.co/Pv3xbB4vf4",75,@CNN
276,0.0,0.0,1.0,0.0,09-12-2017 03:46:05,"Ivanka Trump had breakfast with Fed Chair Janet Yellen this summer, according to logs of Yellen's public schedule… https://t.co/8onNe8fN5a",76,@CNN
277,-0.1027,0.076,0.924,0.0,09-12-2017 00:55:40,".@BrianToddCNN reports from Bonita Springs, Florida, where low-lying areas and mobile homes were hit hard by Irma https://t.co/AvpzHEDDIK",77,@CNN
278,0.0516,0.118,0.753,0.129,09-11-2017 22:31:37,The UN Security Council unanimously adopted a US-drafted resolution to impose new sanctions on North Korea… https://t.co/VBI9k31Xtr,78,@CNN
279,0.0,0.0,1.0,0.0,09-11-2017 20:38:20,"Atlanta Hartsfield-Jackson Intl. Airport, world's busiest airport, hit with extended rain and high winds from Irma https://t.co/adNuf753t4",79,@CNN
280,0.0,0.0,1.0,0.0,09-11-2017 17:25:53,Florida races to refill gas stations after Hurricane Irma https://t.co/izgwoKZL5x,80,@CNN
281,0.4404,0.0,0.847,0.153,09-11-2017 13:31:31,"There is not a single plane in the sky over Florida, thanks to #Irma https://t.co/VbkqRUykUO (radar: @flightradar24) https://t.co/eNlC02AGqR",81,@CNN
282,-0.7506,0.299,0.701,0.0,09-11-2017 10:33:39,"Hurricane Irma has caused catastrophic damage in the Caribbean, including flooding these streets in Havana, Cuba… https://t.co/vf3K98pEmu",82,@CNN
283,0.2263,0.106,0.749,0.145,09-11-2017 07:02:25,"As #HurricaneIrma made its way up Florida's west coast, rescue workers watched helplessly as 911 calls piled up https://t.co/aoFyI6RsJM",83,@CNN
284,-0.34,0.168,0.737,0.095,09-11-2017 03:40:05,"Miami International Airport will be closed Monday after sustaining ""significant water damage throughout,"" CEO says… https://t.co/vsVq6uXwQd",84,@CNN
285,0.2023,0.0,0.904,0.096,09-11-2017 01:03:29,".@andersoncooper says there are ""sheets of rain"" skimming across the top of water in Tampa, Florida. #HurricaneIrma https://t.co/50Hdz3kNbG",85,@CNN
286,0.0,0.0,1.0,0.0,09-10-2017 22:29:34,"NOAA tide gauge in Naples, Florida, measures water levels up 7 feet in last 90 minutes https://t.co/DQXzNhivX2 #Irma https://t.co/XyJq9EysR0",86,@CNN
287,0.0,0.0,1.0,0.0,09-10-2017 19:53:29,.@JohnBerman to @ChrisCuomo: We have all of Florida between us and we are both getting hammered by #HurricaneIrma https://t.co/xSmFQxvHTD,87,@CNN
288,0.0,0.0,1.0,0.0,09-10-2017 17:00:19,"We're tracking Hurricane Irma's path:

Watch: https://t.co/UYpqI3w42L 

Updates: https://t.co/89vb5fuFSx

Radar:… https://t.co/ejfJ9ilGKw",88,@CNN
289,0.0,0.0,1.0,0.0,09-10-2017 13:42:11,"CNN's @BillWeirCNN on #HurricaneIrma conditions: ""If you own a power washer... imagine taking it in the face.""… https://t.co/aWhBNwNwYy",89,@CNN
290,0.0,0.0,1.0,0.0,09-10-2017 10:54:27,"Parts of Florida could see 15 feet of storm surge from Hurricane Irma, Follow live updates: https://t.co/YQtjNWoC2R https://t.co/XP1Ct54DbD",90,@CNN
291,0.0,0.0,1.0,0.0,09-10-2017 05:15:06,The eye. The wall. The outer bands. This is the anatomy of a hurricane https://t.co/7A7n9fYV6g https://t.co/1HRXKa0scj,91,@CNN
292,0.0,0.0,1.0,0.0,09-10-2017 01:32:05,RT @JMOCNN: Rolling around Marco Island #florida as #irma barrels towards us.  @edlavaCNN will be on #cnn shortly from our rolling coverage…,92,@CNN
